country,region_scope,education_level,qualification,qualification_type,grade_year,age_range,duration,framework_level,institution_type,exam,admission_requirement,progression_to,official_term,common_terms,credit_requirement,verification,source,source_type,research_date,notes
Nepal,National,Pre-primary,None,none,,4-5,>=1 year,,ECED centre,none,none,Grade 1,Early Childhood Education and Development (ECED),"ECD; pre-primary; PPE; nursery; KG; Montessori",,warn,CEHRD Flash I Report 2081,Tier1-government,2026-08-21,No certificate issued. Not relevant to admissions.
Nepal,National,Basic (lower),None,none,Grades 1-5,5-9,5 years,,Community/institutional school,school-based,age 5,Grades 6-8,Basic Education (lower cycle),"primary (legacy)",,confirmed,"Compulsory and Free Education Act 2075; CEHRD Flash I Report 2081",Tier1-government,2026-08-21,Compulsory and free.
Nepal,National,Basic (upper),Basic Education completion,school certificate,Grades 6-8,10-12,3 years,,Community/institutional school,Grade 8 examination (local level),Grade 5 completion,Grade 9,Basic Education (upper cycle),"lower secondary (legacy)",,warn,"Compulsory and Free Education Act 2075",Tier1-government,2026-08-21,Grade 8 exam administered by local levels post-federalisation; national standing unclear.
Nepal,National,Lower secondary,SEE certificate,school certificate,Grades 9-10,13-14,2 years full-time,NQF/ISCED 2 boundary,Community/institutional school,SEE (Secondary Education Examination),Grade 8 completion,Grades 11-12 or CTEVT stream,Secondary Education Examination (SEE),"SEE; SLC (pre-2016 usage)",,confirmed,"CTEVT/NSTB NQF Short Explanation Sept 2019; NEB",Tier1-framework,2026-08-21,"NOT a university-entry qualification. Replaced SLC in 2016."
Nepal,National,Upper secondary,NEB Grade 12 certificate,school-leaving certificate,Grades 11-12,15-16,2 years full-time,"NQF: General Education; ISCED 3","Secondary school; +2 college; university-affiliated campus",NEB Grade 12 Examination,SEE completion (subject minima for some streams),Bachelor's degree,"Secondary Education (upper cycle); NQF calls it School Leaving Certificate Exam","+2; Plus Two; Class 12; higher secondary; intermediate (legacy)","~27 credit hours reported for Grade 11 (unverified)",confirmed,"CTEVT/NSTB NQF Short Explanation Sept 2019 s.G2; CEHRD Flash I Report 2081",Tier1-framework,2026-08-21,"Nepal's university-entrance qualification. NER for Grades 11-12 was 37.1% in 2024/25."
Nepal,National,TVET short-cycle,Pre-Diploma (formerly TSLC),vocational certificate,,post-SEE,18 months incl. OJT,,CTEVT-affiliated technical institute,CTEVT assessment,SEE or equivalent,CTEVT Diploma,Pre-Diploma,"TSLC; Technical School Leaving Certificate",,warn,CTEVT (via secondary sources),Tier1-body-unverified,2026-08-21,Reported ~80% practical / 20% theory.
Nepal,National,TVET diploma,CTEVT Diploma,vocational diploma,,post-SEE,3 years,NQF Level 6 area (Diploma),CTEVT-affiliated technical institute/polytechnic,CTEVT examination,SEE with subject grade minima,Bachelor's degree (reported),Diploma,"PCL (legacy); technical diploma",,warn,CTEVT (via secondary sources),Tier1-body-unverified,2026-08-21,"Taken INSTEAD OF Grades 11-12. Grade 12 equivalence widely reported but NOT primary-source confirmed."
Nepal,National,Vocational competency,National Technician Certificate (NTC),competency certificate,,,varies,NVQ progression,NSTB/NVQS,NSTB assessment or RPL,"Basic education + occupational skill; or 5 yrs experience; or RPL",National Diploma; Grade 12 (SLCP),National Technician Certificate,NTC,,confirmed,CTEVT/NSTB NQF Short Explanation Sept 2019 s.F1,Tier1-framework,2026-08-21,Multiple entry routes including RPL.
Nepal,National,Vocational diploma,National Diploma (ND),vocational diploma,,,3 years,NVQ 5 area,Polytechnic institute,CTEVT/NSTB,Entered after NTC,Technical Bachelor's; general Bachelor's,National Diploma,ND,,confirmed,CTEVT/NSTB NQF Short Explanation Sept 2019 s.F2,Tier1-framework,2026-08-21,"Framework states ND holders eligible for Bachelor's Degree Programme."
Nepal,National,Undergraduate,Bachelor's degree,degree,,17+,3 or 4 years,"NQF: Bachelor (framework says 'at least 4 years')",University or affiliated college,University exams; often entrance exam,NEB Grade 12 or equivalent,Master's degree,Bachelor,"Bachelor level",,warn,CTEVT/NSTB NQF Short Explanation Sept 2019 s.G3,Tier1-framework,2026-08-21,"CRITICAL: 3-year AND 4-year degrees both exist on real transcripts. Read the transcript."
Nepal,National,Postgraduate,Master's degree,degree,,,2 years,NQF: Masters,University or affiliated college,University exams/thesis,Bachelor's degree,MPhil or PhD,Masters,"Master level",,confirmed,CTEVT/NSTB NQF Short Explanation Sept 2019 s.F4/G4,Tier1-framework,2026-08-21,
Nepal,National,Pre-doctoral,MPhil,degree,,,1.5-2 years,,University,Coursework + dissertation,Master's degree,PhD,MPhil,MPhil,,warn,,unverified,2026-08-21,Offered by some universities (e.g. KU; TU).
Nepal,National,Doctoral,PhD,degree,,,3 years minimum,NQF: PhD,University,Thesis + defence,Master's or MPhil,,PhD,Doctorate,,confirmed,CTEVT/NSTB NQF Short Explanation Sept 2019 s.F5/G5,Tier1-framework,2026-08-21,
India,National,Foundational,None,none,Pre-school + Grades 1-2,3-8,5 years,NEP 2020 Foundational Stage,Anganwadi; school,none,none,Preparatory Stage,Foundational Stage,"Anganwadi; pre-school; nursery; LKG; UKG",,warn,NEP 2020 (via secondary sources),Tier1-policy-unverified,2026-08-21,"NEP 2020 brings 3 years of pre-school into the school structure."
India,National,Preparatory,None,none,Grades 3-5,8-11,3 years,NCrF Level 1 at Grade 5,School,school-based,Grade 2 completion,Middle Stage,Preparatory Stage,"primary (legacy)",,confirmed,NCrF Report s.3.2.6,Tier1-framework,2026-08-21,No certificate issued.
India,National,Middle,None,none,Grades 6-8,11-14,3 years,NCrF Level 2 at Grade 8,School,school-based,Grade 5 completion,Secondary Stage,Middle Stage,"upper primary; middle school",,confirmed,NCrF Report s.3.2.6,Tier1-framework,2026-08-21,No certificate issued.
India,"National + ~30 state boards",Secondary,Class 10 board certificate,school certificate,Grades 9-10,14-16,2 years,NCrF Level 3,School,"AISSE (CBSE); ICSE (CISCE); SSC/SSLC/High School/Madhyamik (state boards)",Grade 8 completion,Classes 11-12 or polytechnic/ITI,Secondary Stage (lower half),"Class 10; 10th; matriculation; matric; SSC; SSLC; High School; Madhyamik",,confirmed,NCrF Report s.3.2.6,Tier1-framework,2026-08-21,"NOT a university-entry qualification. Board determines grading scale."
