country,system_name,scope,unit_name,notional_hours_per_unit,units_per_year,definition_source,legally_defined,verification,source,research_date,notes
Nepal,"Grade 11-12 curriculum credit hours",School (Grades 11-12),credit hour,not defined nationally,~27 reported for Grade 11,CDC curriculum (unverified),no,warn,secondary sources,2026-08-21,"A curriculum WORKLOAD unit, not a transferable higher-education credit. ~4 credit hours per subject / ~128 annual working hours reported."
Nepal,"University semester credit",Higher education (semester system),credit hour,not defined nationally,varies,Institution,no,warn,secondary sources,2026-08-21,"Used in the GPA formula: GPA = sum(grade point x credit hour) / sum(credit hour)."
Nepal,"University annual system",Higher education (annual system),none,n/a,n/a,n/a,no,warn,,2026-08-21,"Annual-system programmes are structured by subjects and full marks, NOT credits."
Nepal,"NQF",All,none,n/a,n/a,n/a,no,confirmed,CTEVT/NSTB NQF Short Explanation Sept 2019,2026-08-21,"The NQF is a learning-outcome/level-descriptor framework. It publishes NO credit values per level. Absence confirmed in the document read."
Nepal,"National credit transfer policy",All,none identified,n/a,n/a,n/a,no,unresolved,,2026-08-21,"No ECTS-style national credit-transfer currency documented. Transfer is institutional. PRIORITY GAP."
India,"NCrF (National Credit Framework)","School, higher and vocational education",credit,30,40,"NCrF Report of the High-Level Committee, s.3.2.4 and s.3.2.7",yes (notified),confirmed,"UGC/MoE NCrF Report; NCVET Gazette Notification",2026-08-21,"1200 notional learning hours per year = 40 credits. 20 credits per semester (600 hours). Excludes pre-school up to grade 5. Exit modules add 4 credits."
India,"NHEQF credit minima",Higher education,credit,30 (per NCrF),40,UGC NHEQF Table 11,yes,confirmed,UGC NHEQF,2026-08-21,"UG Certificate 40; UG Diploma 80; Bachelor's 120; Bachelor's Honours and B.E./B.Tech. 160; PG Diploma 40; Master's 80 (after 3-yr) or 40 (after 4-yr Honours)."
India,"Academic Bank of Credits (ABC)",Higher education,credit,30,40,UGC NHEQF s.4.5,yes,confirmed,UGC NHEQF,2026-08-21,"National credit bank with individual student accounts. Credit validity MAXIMUM 7 YEARS; after that re-entry requires validation of prior learning."
India,"CBCS (legacy)",Higher education (pre-NCrF),credit,not uniformly defined,varies,Institution,no,warn,,2026-08-21,"Choice-Based Credit System credits pre-date the NCrF's uniform 30-hour definition and appear on older transcripts."
India,"Annual-system legacy degrees",Higher education (legacy),none,n/a,n/a,n/a,no,warn,,2026-08-21,"Older Indian degrees list SUBJECTS AND MARKS, not credits. Asking for 'total credits' may produce a fabricated number."
Bangladesh,"BNQF credit (lecture/tutorial/seminar)",Higher education,credit,40,not fixed by the framework,"BNQF Table 2 (Ministry of Education, Sept 2021)",yes (approved framework),confirmed,BNQF,2026-08-21,"Basis: 1 hour face-to-face per week for 14 weeks = 1 credit. 'This credit will be the academic currency, which a graduate of the Bangladesh higher education sector may carry with her/him'."
Bangladesh,"BNQF credit (lab/studio/clinical work)",Higher education,credit,60,not fixed,BNQF Table 2,yes,confirmed,BNQF,2026-08-21,"Basis: 1.5 hours face-to-face per week for 14 weeks = 1 credit. A lab credit is 50% MORE notional time than a lecture credit."
Bangladesh,"BNQF credit (industrial/workplace learning)",Higher education,credit,80,not fixed,BNQF Table 2,yes,confirmed,BNQF,2026-08-21,"Basis: 2 hours per week for 14 weeks = 1 credit. CONSEQUENCE: a 4-credit Bangladeshi subject can represent 160-320 notional hours depending on composition."
Bangladesh,"BNQF graduating credits",Higher education,credit,40/60/80 by activity,not fixed,BNQF Table 1,yes,confirmed,BNQF,2026-08-21,"Bachelor's 3-yr 120 / 4-yr 140 / 5-yr 160; PG Certificate 30; PG Diploma 40; Master's Coursework 40; Master's Mixed 20 + dissertation; Doctoral Mixed 30 + thesis."
Bangladesh,"TVET credit system",Vocational,to be developed,n/a,n/a,BNQF,no,warn,BNQF,2026-08-21,"The BNQF states 'A credit system will be developed for TVET and skill sub-sector' - i.e. it did not exist at the time of writing."
