term,country,region_scope,education_level,official_meaning,common_usage,ambiguity_risk,disambiguating_question,verification,research_date,notes
"+2","Nepal",National,Upper secondary,"Grades 11-12 / the NEB Grade 12 qualification","The single most common Nepali phrasing for school completion",low,"Which board issued it - NEB, or Cambridge/IB?",confirmed,2026-08-21,
"+2 / 10+2","India",National,Upper secondary,"Classes 11-12 / Class 12 completion","Universal Indian shorthand for school completion",low,"Which board? Which stream and subjects?",confirmed,2026-08-21,
"SLC","Nepal",National,"Grade 10 OR Grade 12","PRE-2016: the Grade 10 school-leaving exam. In NQF/post-2016 policy language: the GRADE 12 exam","Pre-2016 speakers mean Grade 10; NQF documents mean Grade 12",HIGH,"Which grade, and which year did you sit it?",confirmed,2026-08-21,"Both readings are legitimate. Never resolve a bare 'SLC' without the year and grade."
"SEE","Nepal",National,Lower secondary,"Secondary Education Examination, end of Grade 10","Grade 10 result",low,"Did you go on to Grades 11-12?",confirmed,2026-08-21,"NOT a university-entry qualification."
"College","Nepal",National,"Upper secondary OR higher education","Very often a Grade 11-12 institution ('+2 college'); can also be a university-affiliated higher-education campus","Students say 'college' for the place they did +2",HIGH,"What qualification did the college award, and which university awarded it?",warn,2026-08-21,"Highest-frequency Nepal terminology trap."
"College","Bangladesh",National,"Upper secondary OR higher education","Either a Grades 11-12 (intermediate/higher-secondary) college OR a National University-affiliated degree college","Both senses are common",HIGH,"What qualification did the college award, and which university awarded it?",warn,2026-08-21,"~1,688 colleges are affiliated to National University."
"College","India","Maharashtra, Karnataka and others","Upper secondary OR higher education","'Junior college' (Maharashtra) and 'PU college' (Karnataka) mean CLASSES 11-12; otherwise a higher-education college",,HIGH,"Junior/PU college, or a degree college? Which university awarded the degree?",warn,2026-08-21,"45,473 colleges award degrees on behalf of ~1,168 universities."
"College","United Kingdom",UK,"Post-16 / FE / HE","Usually a further education or sixth-form college (post-16, not higher education); in Scotland an FE/HE college; in Oxford/Cambridge/Durham/London a constituent college of a university",,HIGH,"What qualification did it award, and who awarded it?",warn,2026-08-21,"Four distinct senses within the UK alone."
"College","Canada",National,Post-secondary,"A career-focused post-secondary institution, distinct from a university",,MEDIUM,"Which institution? What credential - certificate, diploma, advanced diploma, or degree?",warn,2026-08-21,
"College","United States",National,Higher education,"Higher education generally - often used interchangeably with 'university'",,MEDIUM,"Two-year or four-year? What degree?",warn,2026-08-21,"THE OPPOSITE of the Nepal/Bangladesh/UK senses. 'College' in the US means higher education."
