country,region_scope,education_level,system_name,scale_type,scale_max,scale_min,grade_label,grade_point,marks_range,interpretation,pass_threshold,set_by,verification,source,research_date,notes
Nepal,National,School (Grades 1-12),NEB letter grading (Letter Grading Directive 2078),letter + GPA,4.0,0.0,A+,4.0,90-100,Outstanding,,MoEST/NEB,warn,Letter Grading Directive 2078 via secondary sources,2026-08-21,"Step size is 0.4 - NOT the US 4.0/3.7/3.3 pattern. CONFIRM boundaries at NEB before stating."
Nepal,National,School (Grades 1-12),NEB letter grading,letter + GPA,4.0,0.0,A,3.6,80 to below 90,Excellent,,MoEST/NEB,warn,secondary sources,2026-08-21,
Nepal,National,School (Grades 1-12),NEB letter grading,letter + GPA,4.0,0.0,B+,3.2,70 to below 80,Very good,,MoEST/NEB,warn,secondary sources,2026-08-21,
Nepal,National,School (Grades 1-12),NEB letter grading,letter + GPA,4.0,0.0,B,2.8,60 to below 70,Good,,MoEST/NEB,warn,secondary sources,2026-08-21,
Nepal,National,School (Grades 1-12),NEB letter grading,letter + GPA,4.0,0.0,C+,2.4,50 to below 60,Satisfactory,,MoEST/NEB,warn,secondary sources,2026-08-21,
Nepal,National,School (Grades 1-12),NEB letter grading,letter + GPA,4.0,0.0,C,2.0,40 to below 50,Acceptable,,MoEST/NEB,warn,secondary sources,2026-08-21,
Nepal,National,School (Grades 1-12),NEB letter grading,letter + GPA,4.0,0.0,D,1.6,35 to below 40,Basic,~35% per subject,MoEST/NEB,warn,secondary sources,2026-08-21,"Pass criteria sources CONFLICT (D vs 'D+'; theory-only vs theory+practical)."
Nepal,National,School (Grades 1-12),NEB letter grading,letter + GPA,4.0,0.0,NG (Non-Graded),0.0,below 35,Not graded,,MoEST/NEB,warn,secondary sources,2026-08-21,"NG replaced 'fail' in the letter-grading era."
Nepal,National,School (pre-2016),SLC / HSEB percentage + Division,percentage + division,100,0,Distinction,,>=80% (conventional),Distinction,,OCE/HSEB,unresolved,,2026-08-21,"Boundaries NOT verified. Applies to pre-2016 SLC and HSEB certificates."
Nepal,National,School (pre-2016),SLC / HSEB percentage + Division,percentage + division,100,0,First Division,,>=60% (conventional),First Division,,OCE/HSEB,unresolved,,2026-08-21,Boundaries NOT verified.
Nepal,National,School (pre-2016),SLC / HSEB percentage + Division,percentage + division,100,0,Second Division,,>=45% (conventional),Second Division,,OCE/HSEB,unresolved,,2026-08-21,Boundaries NOT verified.
